index;Review;Liked;dataCleaning;hilangkan_kapital;Review_clean;Review_clean_V2
390;If you want healthy authentic or ethic food, try this place.;1;If you want healthy authentic or ethic food try this place;if you want healthy authentic or ethic food try this place;['want', 'healthy', 'authentic', 'ethic', 'food', 'try', 'place'];want healthy authentic ethic food try place
391;I will continue to come here on ladies night andddd date night ... highly recommend this place to anyone who is in the area.;1;I will continue to come here on ladies night andddd date night highly recommend this place to anyone who is in the area;i will continue to come here on ladies night andddd date night highly recommend this place to anyone who is in the area;['continue', 'come', 'ladies', 'night', 'andddd', 'date', 'night', 'highly', 'recommend', 'place', 'anyone', 'area'];continue come ladies night andddd date night highly recommend place anyone area
392;I have been here several times in the past, and the experience has always been great.;1;I have been here several times in the past and the experience has always been great;i have been here several times in the past and the experience has always been great;['several', 'times', 'past', 'experience', 'always', 'great'];several times past experience always great
393;We walked away stuffed and happy about our first Vegas buffet experience.;1;We walked away stuffed and happy about our first Vegas buffet experience;we walked away stuffed and happy about our first vegas buffet experience;['walked', 'away', 'stuffed', 'happy', 'first', 'vegas', 'buffet', 'experience'];walked away stuffed happy first vegas buffet experience
394;Service was excellent and prices are pretty reasonable considering this is Vegas and located inside the Crystals shopping mall by Aria.;1;Service was excellent and prices are pretty reasonable considering this is Vegas and located inside the Crystals shopping mall by Aria;service was excellent and prices are pretty reasonable considering this is vegas and located inside the crystals shopping mall by aria;['service', 'excellent', 'prices', 'pretty', 'reasonable', 'considering', 'vegas', 'located', 'inside', 'crystals', 'shopping', 'mall', 'aria'];service excellent prices pretty reasonable considering vegas located inside crystals shopping mall aria
395;To summarize... the food was incredible, nay, transcendant... but nothing brings me joy quite like the memory of the pneumatic condiment dispenser.;1;To summarize the food was incredible nay transcendant but nothing brings me joy quite like the memory of the pneumatic condiment dispenser;to summarize the food was incredible nay transcendant but nothing brings me joy quite like the memory of the pneumatic condiment dispenser;['summarize', 'food', 'incredible', 'nay', 'transcendant', 'nothing', 'brings', 'joy', 'quite', 'like', 'memory', 'pneumatic', 'condiment', 'dispenser'];summarize food incredible nay transcendant nothing brings joy quite like memory pneumatic condiment dispenser
396;I'm probably one of the few people to ever go to Ians and not like it.;0;I m probably one of the few people to ever go to Ians and not like it;i m probably one of the few people to ever go to ians and not like it;['probably', 'one', 'people', 'ever', 'go', 'ians', 'like'];probably one people ever go ians like
397;Kids pizza is always a hit too with lots of great side dish options for the kiddos!;1;Kids pizza is always a hit too with lots of great side dish options for the kiddos;kids pizza is always a hit too with lots of great side dish options for the kiddos;['kids', 'pizza', 'always', 'hit', 'lots', 'great', 'side', 'dish', 'options', 'kiddos'];kids pizza always hit lots great side dish options kiddos
398;Service is perfect and the family atmosphere is nice to see.;1;Service is perfect and the family atmosphere is nice to see;service is perfect and the family atmosphere is nice to see;['service', 'perfect', 'family', 'atmosphere', 'nice', 'see'];service perfect family atmosphere nice see
399;Cooked to perfection and the service was impeccable.;1;Cooked to perfection and the service was impeccable;cooked to perfection and the service was impeccable;['cooked', 'perfection', 'service', 'impeccable'];cooked perfection service impeccable
400;This one is simply a disappointment.;0;This one is simply a disappointment;this one is simply a disappointment;['one', 'simply', 'disappointment'];one simply disappointment
401;Overall, I was very disappointed with the quality of food at Bouchon.;0;Overall I was very disappointed with the quality of food at Bouchon;overall i was very disappointed with the quality of food at bouchon;['overall', 'disappointed', 'quality', 'food', 'bouchon'];overall disappointed quality food bouchon
402;I don't have to be an accountant to know I'm getting screwed!;0;I don t have to be an accountant to know I m getting screwed;i don t have to be an accountant to know i m getting screwed;['accountant', 'know', 'getting', 'screwed'];accountant know getting screwed
403;Great place to eat, reminds me of the little mom and pop shops in the San Francisco Bay Area.;1;Great place to eat reminds me of the little mom and pop shops in the San Francisco Bay Area;great place to eat reminds me of the little mom and pop shops in the san francisco bay area;['great', 'place', 'eat', 'reminds', 'little', 'mom', 'pop', 'shops', 'san', 'francisco', 'bay', 'area'];great place eat reminds little mom pop shops san francisco bay area
404;Today was my first taste of a Buldogis Gourmet Hot Dog and I have to tell you it was more than I ever thought possible.;1;Today was my first taste of a Buldogis Gourmet Hot Dog and I have to tell you it was more than I ever thought possible;today was my first taste of a buldogis gourmet hot dog and i have to tell you it was more than i ever thought possible;['today', 'first', 'taste', 'buldogis', 'gourmet', 'hot', 'dog', 'tell', 'ever', 'thought', 'possible'];today first taste buldogis gourmet hot dog tell ever thought possible
405;Left very frustrated.;0;Left very frustrated;left very frustrated;['left', 'frustrated'];left frustrated
406;I'll definitely be in soon again.;1;I ll definitely be in soon again;i ll definitely be in soon again;['definitely', 'soon'];definitely soon
407;Food was really good and I got full petty fast.;1;Food was really good and I got full petty fast;food was really good and i got full petty fast;['food', 'really', 'good', 'got', 'full', 'petty', 'fast'];food really good got full petty fast
408;Service was fantastic.;1;Service was fantastic;service was fantastic;['service', 'fantastic'];service fantastic
409;TOTAL WASTE OF TIME.;0;TOTAL WASTE OF TIME;total waste of time;['total', 'waste', 'time'];total waste time
410;I don't know what kind it is but they have the best iced tea.;1;I don t know what kind it is but they have the best iced tea;i don t know what kind it is but they have the best iced tea;['know', 'kind', 'best', 'iced', 'tea'];know kind best iced tea
411;Come hungry, leave happy and stuffed!;1;Come hungry leave happy and stuffed;come hungry leave happy and stuffed;['come', 'hungry', 'leave', 'happy', 'stuffed'];come hungry leave happy stuffed
412;For service, I give them no stars.;0;For service I give them no stars;for service i give them no stars;['service', 'give', 'stars'];service give stars
413;I can assure you that you won't be disappointed.;1;I can assure you that you won t be disappointed;i can assure you that you won t be disappointed;['assure', 'disappointed'];assure disappointed
